id,Level1,Level2,Level3,Level4,Level5,Level6,Level7
234,-93.000000,-83.000000,-83.000000,nan,nan,nan,nan
235,-93.000000,-83.000000,-83.000000,nan,nan,nan,nan
236,-93.000000,-77.000000,-81.000000,-97.000000,nan,nan,nan
237,-93.000000,-77.000000,-81.000000,-97.000000,nan,nan,nan
238,-93.000000,-77.000000,-81.000000,-97.000000,nan,nan,nan
239,-93.000000,-77.000000,-81.000000,-81.000000,-93.000000,nan,nan
240,-93.000000,-77.000000,-81.000000,-81.000000,-93.000000,nan,nan
241,-95.000000,-77.000000,-81.000000,-83.000000,-93.000000,-93.000000,nan
242,-95.000000,-77.000000,-81.000000,-83.000000,-93.000000,-93.000000,nan
243,-95.000000,-79.000000,-81.000000,-83.000000,-91.000000,-93.000000,nan
244,-95.000000,-79.000000,-81.000000,-83.000000,-91.000000,-93.000000,nan
245,-95.000000,-79.000000,-81.000000,-83.000000,-91.000000,-93.000000,nan
246,-97.000000,-77.000000,-81.000000,-83.000000,-89.000000,nan,nan
247,-97.000000,-77.000000,-81.000000,-83.000000,-87.000000,-89.000000,nan
248,-97.000000,-77.000000,-81.000000,-83.000000,-87.000000,-87.000000,nan
249,-97.000000,-77.000000,-81.000000,-83.000000,-87.000000,-87.000000,nan
250,-97.000000,-77.000000,-81.000000,-83.000000,-87.000000,-87.000000,nan
251,-81.000000,-71.000000,-77.000000,-85.000000,-87.000000,-91.000000,nan
252,-105.000000,5957.000000,141.000000,-107.000000,nan,nan,nan
253,-99.000000,5957.000000,141.000000,-97.000000,nan,nan,nan
254,-97.000000,5957.000000,141.000000,-99.000000,nan,nan,nan
255,-99.000000,5957.000000,141.000000,-101.000000,nan,nan,nan
256,-99.000000,5957.000000,357.000000,141.000000,-103.000000,nan,nan
257,-99.000000,5957.000000,357.000000,141.000000,-103.000000,nan,nan
258,-99.000000,5957.000000,141.000000,-105.000000,nan,nan,nan
259,-103.000000,5957.000000,141.000000,-111.000000,nan,nan,nan
260,-113.000000,-97.000000,nan,nan,nan,nan,nan
261,-113.000000,-97.000000,nan,nan,nan,nan,nan
262,-113.000000,-97.000000,nan,nan,nan,nan,nan
263,-113.000000,-97.000000,nan,nan,nan,nan,nan
264,-113.000000,-97.000000,nan,nan,nan,nan,nan
265,-113.000000,-97.000000,nan,nan,nan,nan,nan
266,-97.000000,21557.000000,57.000000,-107.000000,nan,nan,nan
267,-97.000000,21511.000000,21511.000000,173.000000,47.000000,-81.000000,-81.000000
268,-97.000000,21511.000000,21511.000000,173.000000,47.000000,-81.000000,-81.000000
269,-99.000000,21511.000000,55.000000,17.000000,-83.000000,nan,nan
270,-99.000000,21557.000000,55.000000,-95.000000,nan,nan,nan
271,-97.000000,21511.000000,55.000000,-109.000000,nan,nan,nan
272,-97.000000,21511.000000,55.000000,-109.000000,nan,nan,nan
273,-103.000000,5957.000000,141.000000,-85.000000,nan,nan,nan
274,-103.000000,5957.000000,141.000000,-89.000000,nan,nan,nan
275,-105.000000,5957.000000,141.000000,-85.000000,nan,nan,nan
276,-97.000000,5957.000000,-31.000000,-97.000000,nan,nan,nan
277,-99.000000,5957.000000,-31.000000,-89.000000,nan,nan,nan
278,-101.000000,5957.000000,-31.000000,-87.000000,nan,nan,nan
279,-99.000000,21511.000000,5957.000000,-31.000000,-79.000000,-93.000000,-97.000000
280,-95.000000,5957.000000,-31.000000,-101.000000,nan,nan,nan
281,-99.000000,5957.000000,-31.000000,-111.000000,nan,nan,nan
282,-99.000000,5957.000000,-31.000000,-111.000000,nan,nan,nan
283,-101.000000,21511.000000,105.000000,-79.000000,-97.000000,nan,nan
284,-101.000000,21511.000000,105.000000,-79.000000,-97.000000,nan,nan
285,-105.000000,21511.000000,105.000000,-79.000000,-97.000000,nan,nan
286,-107.000000,21511.000000,105.000000,-79.000000,-97.000000,nan,nan
287,-107.000000,21511.000000,105.000000,-79.000000,-97.000000,nan,nan
288,-107.000000,21511.000000,105.000000,-79.000000,-97.000000,nan,nan
289,-107.000000,21511.000000,105.000000,-79.000000,-97.000000,nan,nan
290,-113.000000,21511.000000,105.000000,-79.000000,-97.000000,nan,nan
291,-89.000000,5957.000000,363.000000,105.000000,-109.000000,nan,nan
292,-111.000000,5957.000000,-97.000000,nan,nan,nan,nan
293,-111.000000,5957.000000,-97.000000,nan,nan,nan,nan
294,-97.000000,5957.000000,141.000000,-83.000000,nan,nan,nan
295,-97.000000,5957.000000,141.000000,-85.000000,nan,nan,nan
296,-113.000000,-97.000000,nan,nan,nan,nan,nan
297,-113.000000,-97.000000,nan,nan,nan,nan,nan
298,-61.000000,-61.000000,-65.000000,-65.000000,-69.000000,-69.000000,nan
299,-61.000000,-61.000000,-65.000000,-65.000000,-69.000000,-69.000000,nan
300,-61.000000,-61.000000,-65.000000,-65.000000,-69.000000,-69.000000,nan
301,-89.000000,21461.000000,-13.000000,-81.000000,nan,nan,nan
302,-95.000000,21461.000000,-13.000000,-85.000000,nan,nan,nan
303,-97.000000,21461.000000,-13.000000,-89.000000,nan,nan,nan
304,-95.000000,21461.000000,-13.000000,nan,nan,nan,nan
305,-97.000000,21511.000000,31.000000,-13.000000,-77.000000,nan,nan
306,-97.000000,21557.000000,21461.000000,241.000000,31.000000,-95.000000,nan
307,-99.000000,21557.000000,21461.000000,241.000000,31.000000,-95.000000,nan
308,-97.000000,21557.000000,21461.000000,241.000000,31.000000,-87.000000,nan
309,-93.000000,21557.000000,21461.000000,241.000000,31.000000,-89.000000,nan
310,-93.000000,21557.000000,21461.000000,241.000000,31.000000,-95.000000,nan
311,-93.000000,21557.000000,241.000000,-85.000000,nan,nan,nan
312,-93.000000,21557.000000,241.000000,-85.000000,nan,nan,nan
313,-93.000000,21557.000000,241.000000,-95.000000,nan,nan,nan
314,-95.000000,21557.000000,241.000000,-103.000000,nan,nan,nan
315,-93.000000,21557.000000,241.000000,-101.000000,nan,nan,nan
316,-87.000000,21557.000000,241.000000,-103.000000,nan,nan,nan
317,-99.000000,21557.000000,241.000000,-81.000000,nan,nan,nan
318,-103.000000,21557.000000,241.000000,-79.000000,nan,nan,nan
319,-107.000000,21557.000000,203.000000,-113.000000,nan,nan,nan
320,-101.000000,21557.000000,203.000000,-113.000000,nan,nan,nan
321,-99.000000,-11.000000,nan,nan,nan,nan,nan
322,-97.000000,21461.000000,179.000000,-113.000000,nan,nan,nan
323,-111.000000,-11.000000,nan,nan,nan,nan,nan
324,-111.000000,-11.000000,nan,nan,nan,nan,nan
325,-91.000000,-57.000000,nan,nan,nan,nan,nan
326,-93.000000,-57.000000,nan,nan,nan,nan,nan
327,-93.000000,-57.000000,nan,nan,nan,nan,nan
328,-97.000000,-57.000000,nan,nan,nan,nan,nan
329,-97.000000,-57.000000,nan,nan,nan,nan,nan
330,-93.000000,-57.000000,nan,nan,nan,nan,nan
331,-87.000000,-57.000000,nan,nan,nan,nan,nan
332,-87.000000,-57.000000,nan,nan,nan,nan,nan
333,-89.000000,-57.000000,nan,nan,nan,nan,nan
334,-99.000000,21511.000000,-13.000000,nan,nan,nan,nan
335,-97.000000,21511.000000,-57.000000,-95.000000,nan,nan,nan
336,-99.000000,-57.000000,nan,nan,nan,nan,nan
