id,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Diff
145,-111.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
146,-109.000000,5957.000000,-47.000000,nan,nan,nan,nan,2.000000
147,-109.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
148,-109.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
149,-113.000000,-47.000000,nan,nan,nan,nan,nan,-4.000000
150,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
151,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
152,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
153,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
154,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
155,-107.000000,21461.000000,-31.000000,nan,nan,nan,nan,0.000000
156,-107.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
157,-109.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
158,-113.000000,-31.000000,nan,nan,nan,nan,nan,-4.000000
159,-111.000000,-31.000000,nan,nan,nan,nan,nan,2.000000
160,-111.000000,21557.000000,303.000000,-113.000000,nan,nan,nan,0.000000
161,-113.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
162,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
163,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
164,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
165,-113.000000,-47.000000,nan,nan,nan,nan,nan,-2.000000
166,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
167,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
168,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
169,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
170,-109.000000,5957.000000,-31.000000,nan,nan,nan,nan,4.000000
171,-109.000000,5957.000000,-31.000000,nan,nan,nan,nan,0.000000
172,-113.000000,-31.000000,nan,nan,nan,nan,nan,-4.000000
173,-109.000000,21557.000000,129.000000,-113.000000,nan,nan,nan,0.000000
174,-109.000000,21557.000000,129.000000,-113.000000,nan,nan,nan,0.000000
175,-111.000000,-47.000000,nan,nan,nan,nan,nan,-4.000000
176,-111.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
177,-111.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
178,-109.000000,-47.000000,nan,nan,nan,nan,nan,2.000000
179,-101.000000,-31.000000,nan,nan,nan,nan,nan,8.000000
180,-101.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
181,-103.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
182,-103.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
183,-103.000000,21511.000000,-31.000000,nan,nan,nan,nan,0.000000
184,-105.000000,21511.000000,-31.000000,nan,nan,nan,nan,-2.000000
185,-107.000000,21511.000000,-31.000000,nan,nan,nan,nan,-2.000000
186,-107.000000,21511.000000,-31.000000,nan,nan,nan,nan,0.000000
187,-107.000000,21511.000000,-31.000000,nan,nan,nan,nan,0.000000
188,-107.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
189,-105.000000,-31.000000,nan,nan,nan,nan,nan,2.000000
190,-105.000000,21557.000000,129.000000,-113.000000,nan,nan,nan,-2.000000
191,-107.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
192,-109.000000,5957.000000,-31.000000,nan,nan,nan,nan,-2.000000
193,-107.000000,5957.000000,-31.000000,nan,nan,nan,nan,2.000000
194,-109.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
195,-109.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
196,-109.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
197,-109.000000,21461.000000,-31.000000,nan,nan,nan,nan,0.000000
198,-113.000000,21461.000000,-31.000000,nan,nan,nan,nan,-4.000000
199,-113.000000,21461.000000,-31.000000,nan,nan,nan,nan,0.000000
